pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line_1.started,line_2.started,line_3.started,line_4.started,Fixation.stopped,Probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
150,v,22,1,89,1,,,,,217.48163530000056,,217.4683318999996,217.48163530000056,218.4815679000003,218.4815679000003,218.4815679000003,218.4815679000003,218.4815679000003,219.4812493999998,219.4812493999998,219.78409490000013,v,1,0.2943238999996538,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
50,c,22,2,90,2,,,,,219.79790409999987,,219.78469609999956,219.79790409999987,220.79811429999972,220.79811429999972,220.79811429999972,220.79811429999972,220.79811429999972,221.7979546000006,221.7979546000006,222.25047839999934,c,1,0.4495449000005465,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-150,z,22,3,91,3,,,,,222.26436280000053,,222.2510801999997,222.26436280000053,223.26428589999887,223.26428589999887,223.26428589999887,223.26428589999887,223.26428589999887,224.26395199999934,224.26395199999934,224.63366320000023,z,1,0.3666730999993888,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-50,x,23,0,92,0,,,,,224.64724360000037,,224.63426489999983,224.64724360000037,225.64722549999897,225.64722549999897,225.64722549999897,225.64722549999897,225.64722549999897,226.647261099999,226.647261099999,226.96634450000056,x,1,0.3179263000001811,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
150,v,23,1,93,1,,,,,226.98043060000055,,226.96695030000046,226.98043060000055,227.98039140000037,227.98039140000037,227.98039140000037,227.98039140000037,227.98039140000037,228.97990480000044,228.97990480000044,229.3827925000005,v,1,0.4011510000000271,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
50,c,23,2,94,2,,,,,229.3968058999999,,229.38342430000012,229.3968058999999,230.39659070000016,230.39659070000016,230.39659070000016,230.39659070000016,230.39659070000016,231.39656289999948,231.39656289999948,231.88274499999898,c,1,0.4836228999993182,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-150,z,23,3,95,3,,,,,231.89638120000018,,231.8833522999994,231.89638120000018,232.89620990000003,232.89620990000003,232.89620990000003,232.89620990000003,232.89620990000003,233.89621269999952,233.89621269999952,234.1986025999995,z,1,0.28940550000152143,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-50,x,24,0,96,0,,,,,234.2127877999992,,234.19922899999983,234.2127877999992,235.21261649999906,235.21261649999906,235.21261649999906,235.21261649999906,235.21261649999906,236.21255179999935,236.21255179999935,236.6149050999993,x,1,0.3969261000002007,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
150,v,24,1,97,1,,,,,236.62910939999892,,236.61550630000056,236.62910939999892,237.6289474999994,237.6289474999994,237.6289474999994,237.6289474999994,237.6289474999994,238.6290573999995,238.6290573999995,239.03175550000014,v,1,0.39103310000064084,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
50,c,24,2,98,2,,,,,239.04576409999936,,239.03235889999996,239.04576409999936,240.0452581999998,240.0452581999998,240.0452581999998,240.0452581999998,240.0452581999998,241.04511420000017,241.04511420000017,241.63107449999916,c,1,0.5702127999993536,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
